Malware_Types_List,Blacklist_Type_Text,Address_IP,Domain_Name
,,192.185.108.212,higherphuket.com
,,131.100.50.4,higienizacomercio.com.br
,,63.247.87.242,himalref.com.np
,,63.247.87.242,himgiritravels.com
,,184.95.41.121,hng.org.in
,,184.168.57.1,hochikisingapore.com
,,181.224.147.134,hoffmanmaterials.com
,,166.62.80.69,holycrosscpc.org
,,198.58.93.56,hoodklassyclothingco.com
,,,hooyi.tw
,,96.44.171.173,hopecollective.com
,,,hostmasterplus.com
,,192.185.118.4,hotelbuganvillas.com
,,131.100.50.4,hotelfamilies.com.br
,,131.100.50.4,hotelfamilies.com
,,63.247.87.242,howtolookyoungertoday.com
,,199.59.243.120,hssannna.cuccfree.com
,,192.185.51.96,huntercaroline.com
,,218.108.15.66,hzmfmr.org
,,192.185.79.230,ibrahz.com
,,138.128.160.106,ibvciudadela.com
,,92.242.132.15,icloud-control.com
,,160.153.162.4,id-apple-secure1.store.apple-2fhuxob0o1e-appleid.apple.com-secu.ohighar.com
,,103.25.130.206,ideamasale.com
,,166.62.44.105,ihealthcue.com
,,192.185.108.212,ijustwanttoplaypoker.com
,,69.162.73.226,ilihost.com.br
,,162.144.123.108,imamiawelfare.org
,,185.75.192.3,immohouse.hu
,,192.185.216.123,imoveisvirtual.com.br
,,192.185.108.212,impactrevolution.com
,,92.242.132.15,importantchecks.com
,,192.185.213.99,imunizarvacinas.com
,,192.185.223.169,incensosinca.com.br
,,27.121.64.126,industriallubricationservices.com.au
,,188.121.58.1,inetsoftwaresolutions.co.uk
,,50.87.152.104,ingoodhandschiropractic.com.au
,,63.247.87.242,innerduction.com
,,173.254.28.124,innovareanalytics.com
,,,iphotography-school.com
,,74.220.207.181,iseiyanurelayemiinc.catcoot.com.sa
,,103.28.12.140,islamicfashioninstitute.com
,,192.185.108.212,ispwirelessgroup.com
,,78.46.100.176,istandardproducers.com
,,92.242.132.15,itunes.apple.com-blocks.com
,,92.242.132.15,itunes-security2016wmid7780f4-110ll-16.taxds.gr
,,61.63.20.118,itvcf.com
,,92.242.132.15,iusaa.com-sec-inet-auth-logon-ent-logon.londonworldenglish.com
,,108.160.158.97,ivan.phpdev4u.com
,,69.64.68.185,japannewsheadlines.com
,,87.117.242.72,jdhc.co.uk
,,192.185.51.96,jesusmartineztorrecilla.com
,,63.247.87.242,jimenezvalverde.com
,,217.34.136.53,jkdsecurity.co.uk
,,192.185.216.122,jmdetetive.com.br
,,199.59.243.120,joao.cuccfree.com
,,27.121.64.141,johnrobb.info
,,67.222.12.107,jonathanphillips.org
,,173.199.120.43,jpolandez.com
,,92.242.132.15,jsglovis.com
,,202.75.53.11,jualtopupbiz.com
,,192.185.108.212,juki.com.bd
,,63.247.87.242,justeasytravel.com
,,50.87.144.32,justliberated.com.au
,,5.77.63.52,kakatiyapublicschool.in
,,166.62.116.88,kalaniketan.com
,,63.247.87.242,kalyan.com.np
,,5.77.63.52,kanthikiran.com
,,192.185.13.20,kanyij-advocates.co.ke
,,187.45.180.235,kapack.com.br
,,203.170.82.97,katiesplace.com.au
,,79.170.44.141,keighleyrugbyheritage.info
,,176.32.230.26,kentendo.co.uk
,,192.185.13.189,kenyamarinas.com
,,192.185.211.207,kerusso.com.br
,,192.185.108.212,keywordpressplugins.com
,,95.154.213.98,kgbremovals.co.uk
,,181.224.137.209,kindassault.com
,,212.172.221.23,kinder-und-kindheiten.de
,,107.180.44.124,kingswaypaving.ca
,,63.247.87.242,kitchenace.com
,,63.247.87.242,kites.kitesoar.com
,,144.76.101.170,kkalpanagroup.com
,,192.185.108.212,knitconcern.com
,,173.201.238.128,knowledgew.com
,,209.59.141.132,kochsfarmservice.com
,,125.253.113.210,kodahoney.com
,,104.27.164.99,koisas.com.pt
,,103.28.12.140,koperbunda.com
,,173.201.243.128,ktperformance.com
,,192.232.219.76,ku6bhi.com
,,80.87.199.109,kundensicherheit.center
,,67.227.198.201,la-belle-epoque.co.uk
,,131.100.50.4,labiska.com.br
,,131.100.50.4,labiska.com
,,138.128.160.106,lacamila.edu.co
,,72.167.131.161,lacati.com
,,,lacocinadeyuli.com
,,67.227.253.225,lanadahl.com
,,184.168.233.1,lasambaentertainers.com
,,66.7.196.148,laser-travel.com
,,192.185.48.228,lasvegashomes-foreclosures.com
,,195.248.254.4,latka.com.pl
,,192.185.216.26,leadclube.com.br
,,192.185.108.212,learnguitarlessons.co.uk
,,209.59.133.238,leavinsomnia.com
,,62.129.201.157,lecznicapanda.animrumru.net
,,63.247.87.242,legalcr.com
,,63.247.87.242,lekhannepal.com
,,,limabghanate.com
,,5.10.68.190,linkedincc.com
,,63.247.87.242,littleheartsofjoydaycare.com
,,92.242.132.15,loacaliza-iphone.com
,,63.247.87.242,locksmith-alisoviejo.com
,,63.247.87.242,locksmith-bellflower.com
,,63.247.87.242,locksmith-edina.com
,,63.247.87.242,locksmith-highland.com
,,63.247.87.242,locksmith-maple-grove.com
,,63.247.87.242,locksmithmoorpark-ca.com
,,63.247.87.242,locksmith-rancho-cucamonga.com
,,63.247.87.242,locksmith-santamonica.com
,,104.236.61.190,loja1.elianecasaeconstrucao.com.br
,,107.180.54.251,lookupluious.com
,,63.247.87.242,lordbuddhaedu.com
,,50.63.43.1,los4acuerdos.com.mx
,,63.247.87.242,lovingtolivelife.com
,,87.106.63.113,luehrs.de
,,69.162.73.226,luisalbertocosta.com.br
,,94.126.173.11,lumikor.net
,,131.100.50.4,macbalao.com.br
,,148.163.127.107,maetl.coretxt.net.nz
,,192.250.229.18,management.buyandsellaustralia.com.au
,,66.147.244.55,manhattanwellnessgroup.com
,,184.95.41.121,manipurmedicalcouncil.org
,,5.206.231.158,margaridaschool.com
,,108.167.143.134,marinateyourhead.com
,,,mariocalcados.com.br
,,184.168.221.35,marketimaro.com
,,199.167.200.11,masayuworld.com
,,31.170.160.129,massender.netau.net
,,63.247.87.242,maths-alive.com
,,69.195.124.87,maxandstevie.com
,,181.224.135.74,mcbride.tmawww.com
,,177.185.192.125,mcdesignarq.com.br
,,192.185.213.182,mecaloja.com
,,63.247.87.242,meetmagicnepal.com
,,192.185.89.4,meklaw.org
,,208.91.197.132,membersconnects.com
,,63.247.87.242,mhgonline.com
,,92.242.132.15,micrsft.pw
,,108.175.157.44,milovitch.net
,,69.90.66.200,mindbendingmovies.co.uk
,,162.144.120.45,minimal.acmecreatives.com
,,63.247.87.242,mob2pay.com
,,67.225.166.81,mohsenmodiri.com
,,64.20.40.34,moisesmieses.com
,,192.185.218.125,molonmetais.com.br
,,125.253.113.210,molution.vn
,,50.87.152.104,montevideo.co.za
,,148.163.99.29,montgomer.net
,,119.47.118.22,morecoreaudio.co.nz
,,131.100.50.4,motorestrevo.com.br
,,192.185.150.72,mouyerfamily.com
,,37.230.114.67,moyhit.ru
,,50.116.112.158,mspassessoria.com
,,192.185.13.189,mwangicoffee.com
,,,my2015taxfile.hostgolddragon.com
,,162.144.67.106,mycontactsystem.com
,,92.242.132.15,myfollowermedia.com
,,198.154.248.248,mymedicalclinicmn.com
,,50.87.152.104,myperfectchickencoop.com
,,192.185.108.212,mysoftwareclub.com
,,198.15.116.243,mystery-box.in
,,192.185.108.212,naamasprings.com
,,92.242.132.15,nab-au.com
,,67.222.3.111,nazuri.pe
,,209.188.94.224,nebogymnastics.com
