domain,concept,datasourcename,updtdttm,first_observed_date,total_observations,city,pedigree,confidence_score,datauploadid,segment,netspeed,referential,coordinates,govdatevett,most_recent_observation_time,total_capabilities,insrtdttm,geo_longitude,countryabbrv,commvett,active_boolean,first_observed_time,date,ipaddress,geo_latitude,commdatevett,offenderclass,network_asn,ipaddress_int,govvett,country,isp,uuid,piplelineid,most_recent_observation_date,network_class,threat_score,cog,blranking,model,network_type
,,,,,,,,,,,,,,,,,,,US,,,,,198.58.93.52,,,,,,,,,,,2012-08-09,,,,,,
,,,,,,,,,,,,,,,,,,,IN,,,,,103.14.98.131,,,,,,,,,,,2012-07-05,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,66.175.58.9,,,,,,,,,,,2001-10-03,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,46.30.244.130,,,,,,,,,,,2011-08-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.50.186,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,202.22.163.23,,,,,,,,,,,2000-12-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.231.189.251,,,,,,,,,,,2012-07-12,,,,,,
,,,,,,,,,,,,,,,,,,,DE,,,,,46.4.122.252,,,,,,,,,,,2010-08-19,,,,,,
,,,,,,,,,,,,,,,,,,,RU,,,,,91.201.215.220,,,,,,,,,,,2012-08-13,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.103.70,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,IT,,,,,81.88.48.78,,,,,,,,,,,2006-04-10,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,160.153.16.27,,,,,,,,,,,2011-09-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,94.229.164.69,,,,,,,,,,,2008-11-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.136.34,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,198.187.29.12,,,,,,,,,,,2012-09-18,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,AU,,,,,203.33.171.111,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.62.23.160,,,,,,,,,,,2011-02-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,206.188.192.240,,,,,,,,,,,2005-07-25,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.211.207,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,187.45.180.235,,,,,,,,,,,2009-08-06,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.170.54.199,,,,,,,,,,,2012-01-23,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.250.229.18,,,,,,,,,,,2013-06-06,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,69.89.31.95,,,,,,,,,,,2006-10-02,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,148.163.99.29,,,,,,,,,,,2014-06-06,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,VN,,,,,112.78.2.181,,,,,,,,,,,2008-12-31,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.216.123,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,VN,,,,,125.253.113.210,,,,,,,,,,,2010-12-29,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.164.1,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.27.82,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,50.87.104.150,,,,,,,,,,,2011-01-24,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.140.208,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.14,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,209.188.24.242,,,,,,,,,,,2004-05-18,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,NL,,,,,5.153.10.230,,,,,,,,,,,2012-07-19,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.27.81,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.55.19,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.57,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,199.59.243.120,,,,,,,,,,,2010-12-09,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,104.31.91.6,,,,,,,,,,,2014-03-28,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,184.168.221.72,,,,,,,,,,,2010-09-21,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,NL,,,,,5.10.68.188,,,,,,,,,,,2012-04-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,ES,,,,,92.43.23.27,,,,,,,,,,,2008-01-03,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,3.247.87.242,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,RU,,,,,1.177.165.132,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,72.47.232.212,,,,,,,,,,,2007-05-30,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.20.88,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.48.175,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,192.185.108.212,,,,,,,,,,,2013-07-22,,,,,,
,,,,,,,,,,,,,,,,,,,PT,,,,,94.8.30.56,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.55.60,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,BR,,,,,131.100.50.4,,,,,,,,,,,2014-08-11,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.167.143.137,,,,,,,,,,,2011-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,VN,,,,,112.78.1.54,,,,,,,,,,,2008-12-31,,,,,,
,,,,,,,,,,,,,,,,,,,MX,,,,,201.175.20.195,,,,,,,,,,,2007-05-15,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,216.97.233.15,,,,,,,,,,,2008-08-11,,,,,,
